"source","target","type"
"McCotter, Thaddeus G (R-MI)","Davis, Geoff (R-KY)","t1"
"McHenry, Patrick (R-NC)","Meek, Kendrick B (D-FL)","t1"
"Pryce, Deborah (R-OH)","Bachus, Spencer (R-AL)","t1"
"Duncan, John J Jr (R-TN)","Gutierrez, Luis V (D-IL)","t1"
"Gerlach, Jim (R-PA)","Frank, Barney (D-MA)","t1"
"Hastings, Alcee L (D-FL)","Kanjorski, Paul E (D-PA)","t1"
"Stivers, Steve (R-OH)","Scott, David (D-GA)","t1"
"Barrett, Gresham (R-SC)","Maloney, Carolyn B (D-NY)","t1"
"Smith, Adam (D-WA)","Jenkins, Lynn (R-KS)","t1"
"Becerra, Xavier (D-CA)","Moore, Dennis (D-KS)","t1"
"Boren, Dan (D-OK)","Davis, Geoff (R-KY)","t1"
"Boswell, Leonard (D-IA)","Meek, Kendrick B (D-FL)","t1"
"Butterfield, G K (D-NC)","Bachus, Spencer (R-AL)","t1"
"Cannon, Chris (R-UT)","Gutierrez, Luis V (D-IL)","t1"
"Larsen, Rick (D-WA)","Frank, Barney (D-MA)","t1"
"Reichert, Dave (R-WA)","Kanjorski, Paul E (D-PA)","t1"
"Sanchez, Loretta (D-CA)","Scott, David (D-GA)","t1"
"Thompson, Bennie G (D-MS)","Maloney, Carolyn B (D-NY)","t1"
"Walberg, Tim (R-MI)","Jenkins, Lynn (R-KS)","t1"
"Wamp, Zach (R-TN)","Moore, Dennis (D-KS)","t1"
"Bright, Bobby (D-AL)","Davis, Geoff (R-KY)","t1"
"Garrett, Scott (R-NJ)","Meek, Kendrick B (D-FL)","t1"
"Jackson, Jesse Jr (D-IL)","Bachus, Spencer (R-AL)","t1"
"Altmire, Jason (D-PA)","Gutierrez, Luis V (D-IL)","t1"
"Blackburn, Marsha (R-TN)","Frank, Barney (D-MA)","t1"
"Carson, Andre (D-IN)","Kanjorski, Paul E (D-PA)","t1"
"Clay, William L Jr (D-MO)","Scott, David (D-GA)","t1"
"Donnelly, Joe (D-IN)","Maloney, Carolyn B (D-NY)","t1"
"Gillmor, Paul E (R-OH)","Jenkins, Lynn (R-KS)","t1"
"Kuhl, John R Jr (R-NY)","Moore, Dennis (D-KS)","t1"
"McMorris Rodgers, Cathy (R-WA)","Davis, Geoff (R-KY)","t1"
"Price, Tom (R-GA)","Meek, Kendrick B (D-FL)","t1"
"Velazquez, Nydia M (D-NY)","Bachus, Spencer (R-AL)","t1"
"Halvorson, Deborah (D-IL)","Gutierrez, Luis V (D-IL)","t1"
"Rangel, Charles B (D-NY)","Frank, Barney (D-MA)","t1"
"Watson, Diane E (D-CA)","Kanjorski, Paul E (D-PA)","t1"
"Bonoff, Terri (D-MN)","Scott, David (D-GA)","t1"
"Chabot, Steve (R-OH)","Maloney, Carolyn B (D-NY)","t1"
"Graves, Sam (R-MO)","Jenkins, Lynn (R-KS)","t1"
"Whitehead, Jim (R-GA)","Moore, Dennis (D-KS)","t1"
"Paul, Ron (R-TX)","Davis, Geoff (R-KY)","t1"
"Ackerman, Gary (D-NY)","Meek, Kendrick B (D-FL)","t1"
"Bilirakis, Gus (R-FL)","Bachus, Spencer (R-AL)","t1"
"Cantor, Eric (R-VA)","Gutierrez, Luis V (D-IL)","t1"
"Carter, John (R-TX)","Frank, Barney (D-MA)","t1"
"Chandler, Ben (D-KY)","Kanjorski, Paul E (D-PA)","t1"
"Davis-Aaron, Laura (D-TN)","Scott, David (D-GA)","t1"
"Filner, Bob (D-CA)","Maloney, Carolyn B (D-NY)","t1"
"Gordon, Bart (D-TN)","Jenkins, Lynn (R-KS)","t1"
"Heller, Dean (R-NV)","Moore, Dennis (D-KS)","t1"
"Herseth Sandlin, Stephanie (D-SD)","Davis, Geoff (R-KY)","t1"
"Johnson, Eddie Bernice (D-TX)","Meek, Kendrick B (D-FL)","t1"
"Jordan, Jim (R-OH)","Bachus, Spencer (R-AL)","t1"
"Kind, Ron (D-WI)","Gutierrez, Luis V (D-IL)","t1"
"Marshall, Jim (D-GA)","Frank, Barney (D-MA)","t1"
"Matheson, Jim (D-UT)","Kanjorski, Paul E (D-PA)","t1"
"Michaud, Mike (D-ME)","Scott, David (D-GA)","t1"
"Roskam, Peter (R-IL)","Maloney, Carolyn B (D-NY)","t1"
"Schmidt, Jean (R-OH)","Jenkins, Lynn (R-KS)","t1"
"Upton, Fred (R-MI)","Moore, Dennis (D-KS)","t1"
"Jones, Walter B Jr (R-NC)","Davis, Geoff (R-KY)","t1"
"Spratt, John M Jr (D-SC)","Meek, Kendrick B (D-FL)","t1"
"Schock, Aaron (R-IL)","Bachus, Spencer (R-AL)","t1"
"Aderholt, Robert B (R-AL)","Gutierrez, Luis V (D-IL)","t1"
"Arcuri, Mike (D-NY)","Frank, Barney (D-MA)","t1"
"Barton, Joe (R-TX)","Kanjorski, Paul E (D-PA)","t1"
"Brown-Waite, Ginny (R-FL)","Scott, David (D-GA)","t1"
"Buyer, Steve (R-IN)","Maloney, Carolyn B (D-NY)","t1"
"Cramer, Bud (D-AL)","Jenkins, Lynn (R-KS)","t1"
"Culberson, John (R-TX)","Moore, Dennis (D-KS)","t1"
"Dent, Charlie (R-PA)","Davis, Geoff (R-KY)","t1"
"Diaz-Balart, Lincoln (R-FL)","Meek, Kendrick B (D-FL)","t1"
"Emerson, Jo Ann (R-MO)","Bachus, Spencer (R-AL)","t1"
"Goddard, Rick (R-GA)","Gutierrez, Luis V (D-IL)","t1"
"Granger, Kay (R-TX)","Frank, Barney (D-MA)","t1"
"Guthrie, Brett (R-KY)","Kanjorski, Paul E (D-PA)","t1"
"Honda, Mike (D-CA)","Scott, David (D-GA)","t1"
"Jennings, Christine (D-FL)","Maloney, Carolyn B (D-NY)","t1"
"Johnson, Hank (D-GA)","Jenkins, Lynn (R-KS)","t1"
"Johnson, Sam (R-TX)","Moore, Dennis (D-KS)","t1"
"Lamborn, Douglas L (R-CO)","Davis, Geoff (R-KY)","t1"
"Latta, Robert E (R-OH)","Meek, Kendrick B (D-FL)","t1"
"Love, Jay K (R-AL)","Bachus, Spencer (R-AL)","t1"
"Marchant, Kenny (R-TX)","Gutierrez, Luis V (D-IL)","t1"
"McCaul, Michael (R-TX)","Frank, Barney (D-MA)","t1"
"Melancon, Charles (D-LA)","Kanjorski, Paul E (D-PA)","t1"
"Moran, Jim (D-VA)","Scott, David (D-GA)","t1"
"Murphy, Patrick J (D-PA)","Maloney, Carolyn B (D-NY)","t1"
"Murphy, Tim (R-PA)","Jenkins, Lynn (R-KS)","t1"
"Musgrave, Marilyn (R-CO)","Moore, Dennis (D-KS)","t1"
"Neugebauer, Randy (R-TX)","Davis, Geoff (R-KY)","t1"
"Posey, Bill (R-FL)","Meek, Kendrick B (D-FL)","t1"
"Ramstad, Jim (R-MN)","Bachus, Spencer (R-AL)","t1"
"Roybal-Allard, Lucille (D-CA)","Gutierrez, Luis V (D-IL)","t1"
"Ryun, Jim (R-KS)","Frank, Barney (D-MA)","t1"
"Space, Zack (D-OH)","Kanjorski, Paul E (D-PA)","t1"
"Tanner, John (D-TN)","Scott, David (D-GA)","t1"
"Wilson, Charlie (D-OH)","Maloney, Carolyn B (D-NY)","t1"
"Wittman, Rob (R-VA)","Jenkins, Lynn (R-KS)","t1"
"Burgess, Michael (R-TX)","Moore, Dennis (D-KS)","t1"
"Corden, Paul H (D-SC)","Davis, Geoff (R-KY)","t1"
"Fallin, Mary (R-OK)","Meek, Kendrick B (D-FL)","t1"
"Jordan, Nick (R-KS)","Bachus, Spencer (R-AL)","t1"
"Myrick, Sue (R-NC)","Gutierrez, Luis V (D-IL)","t1"
"Tiahrt, Todd (R-KS)","Frank, Barney (D-MA)","t1"
"Turner, Michael R (R-OH)","Kanjorski, Paul E (D-PA)","t1"
"Hall, Ralph (R-TX)","Scott, David (D-GA)","t1"
"Waters, Maxine (D-CA)","Maloney, Carolyn B (D-NY)","t1"
"Brady, Kevin (R-TX)","Jenkins, Lynn (R-KS)","t1"
"Clarke, Yvette D (D-NY)","Moore, Dennis (D-KS)","t1"
"Cleaver, Emanuel (D-MO)","Davis, Geoff (R-KY)","t1"
"Putnam, Adam H (R-FL)","Meek, Kendrick B (D-FL)","t1"
"Yoder, Kevin (R-KS)","Bachus, Spencer (R-AL)","t1"
"Minnick, Walt (D-ID)","Gutierrez, Luis V (D-IL)","t1"
"Tracy, Jim (R-TN)","Frank, Barney (D-MA)","t1"
"Boyd, Allen (D-FL)","Kanjorski, Paul E (D-PA)","t1"
"Kosmas, Suzanne (D-FL)","Scott, David (D-GA)","t1"
"Salazar, John (D-CO)","Maloney, Carolyn B (D-NY)","t1"
"Baca, Joe (D-CA)","Jenkins, Lynn (R-KS)","t1"
"Thomas, David Lloyd (R-SC)","Moore, Dennis (D-KS)","t1"
"Koster, John (R-WA)","Davis, Geoff (R-KY)","t1"
"Scott, Austin (R-GA)","Meek, Kendrick B (D-FL)","t1"
"Deutch, Ted (D-FL)","Bachus, Spencer (R-AL)","t1"
"Royce, Ed (R-CA)","Gutierrez, Luis V (D-IL)","t1"
"Davis, Danny K (D-IL)","Frank, Barney (D-MA)","t1"
"Herrera Beutler, Jaime (R-WA)","Kanjorski, Paul E (D-PA)","t1"
"Cedillo, Gilbert (D-CA)","Scott, David (D-GA)","t1"
"Foster, Bill (D-IL)","Maloney, Carolyn B (D-NY)","t1"
"Fritchey, John A (D-IL)","Jenkins, Lynn (R-KS)","t1"
"Schauer, Mark (D-MI)","Moore, Dennis (D-KS)","t1"
"Grayson, Alan (D-FL)","Davis, Geoff (R-KY)","t1"
"Black, Diane (R-TN)","Meek, Kendrick B (D-FL)","t1"
"Kratovil, Frank (D-MD)","Bachus, Spencer (R-AL)","t1"
"Bass, Karen (D-CA)","Gutierrez, Luis V (D-IL)","t1"
"Scott, Tim (R-SC)","Frank, Barney (D-MA)","t1"
"Scalise, Steve (R-LA)","Kanjorski, Paul E (D-PA)","t1"
"Huelskamp, Tim (R-KS)","Scott, David (D-GA)","t1"
"Maffei, Dan (D-NY)","Maloney, Carolyn B (D-NY)","t1"
"Peters, Gary (D-MI)","Jenkins, Lynn (R-KS)","t1"
"Fleischmann, Chuck (R-TN)","Moore, Dennis (D-KS)","t1"
"Graves, Tom (R-GA)","Davis, Geoff (R-KY)","t1"
"Ross, Dennis (R-FL)","Meek, Kendrick B (D-FL)","t1"
"Castor, Kathy (D-FL)","Bachus, Spencer (R-AL)","t1"
"Gowdy, Trey (R-SC)","Gutierrez, Luis V (D-IL)","t1"
"Hartzler, Vicky (R-MO)","Frank, Barney (D-MA)","t1"
"Speier, Jackie (D-CA)","Kanjorski, Paul E (D-PA)","t1"
"Heck, Joe (R-NV)","Scott, David (D-GA)","t1"
"Barnett, James A (R-KS)","Maloney, Carolyn B (D-NY)","t1"
"Calvert, Ken (R-CA)","Jenkins, Lynn (R-KS)","t1"
"King, Pete (R-NY)","Moore, Dennis (D-KS)","t1"
"Lee, Christopher J (R-NY)","Davis, Geoff (R-KY)","t1"
"Renacci, Jim (R-OH)","Meek, Kendrick B (D-FL)","t1"
"Smith, Robin (R-TN)","Bachus, Spencer (R-AL)","t1"
"Neal, Richard E (D-MA)","Gutierrez, Luis V (D-IL)","t1"
"Perlmutter, Edwin G (D-CO)","Frank, Barney (D-MA)","t1"
"Chaffetz, Jason (R-UT)","Kanjorski, Paul E (D-PA)","t1"
"Harmer, David Jeffrey (R-CA)","Scott, David (D-GA)","t1"
"Pompeo, Mike (R-KS)","Maloney, Carolyn B (D-NY)","t1"
"Schweikert, David (R-AZ)","Jenkins, Lynn (R-KS)","t1"
"Hurt, Robert (R-VA)","Moore, Dennis (D-KS)","t1"
"Burke, Matthew (R-WA)","Davis, Geoff (R-KY)","t1"
"Campbell, John (R-CA)","Meek, Kendrick B (D-FL)","t1"
"Castillo, David B (R-WA)","Bachus, Spencer (R-AL)","t1"
"Giffords, Gabrielle (D-AZ)","Gutierrez, Luis V (D-IL)","t1"
"Hastings, Doc (R-WA)","Frank, Barney (D-MA)","t1"
"Lewis, John (D-GA)","Kanjorski, Paul E (D-PA)","t1"
"Parker, Star (R-CA)","Scott, David (D-GA)","t1"
"Seals, Dan (D-IL)","Maloney, Carolyn B (D-NY)","t1"
"Young, C W Bill (R-FL)","Jenkins, Lynn (R-KS)","t1"
"Berg, Rick (R-ND)","Moore, Dennis (D-KS)","t1"
"Camp, Dave (R-MI)","Davis, Geoff (R-KY)","t1"
"Lujan, Ben R (D-NM)","Meek, Kendrick B (D-FL)","t1"
"Nugent, Richard (R-FL)","Bachus, Spencer (R-AL)","t1"
"Andrews, Robert E (D-NJ)","Gutierrez, Luis V (D-IL)","t1"
"Buchanan, Vernon (R-FL)","Frank, Barney (D-MA)","t1"
"Capito, Shelley Moore (R-WV)","Kanjorski, Paul E (D-PA)","t1"
"Carter, Liz (R-GA)","Scott, David (D-GA)","t1"
"Cummings, Elijah E (D-MD)","Maloney, Carolyn B (D-NY)","t1"
"Diaz-Balart, Mario (R-FL)","Jenkins, Lynn (R-KS)","t1"
"Dold, Bob (R-IL)","Moore, Dennis (D-KS)","t1"
"Edwards, Lori (D-FL)","Davis, Geoff (R-KY)","t1"
"Fincher, Steve (R-TN)","Meek, Kendrick B (D-FL)","t1"
"Fitzpatrick, Michael G (R-PA)","Bachus, Spencer (R-AL)","t1"
"Flores, Bill (R-TX)","Gutierrez, Luis V (D-IL)","t1"
"Garamendi, John (D-CA)","Frank, Barney (D-MA)","t1"
"Kissell, Larry (D-NC)","Kanjorski, Paul E (D-PA)","t1"
"Larson, John B (D-CT)","Scott, David (D-GA)","t1"
"Lentz, Bryan (D-PA)","Maloney, Carolyn B (D-NY)","t1"
"Levin, Sander (D-MI)","Jenkins, Lynn (R-KS)","t1"
"Lipinski, Daniel (D-IL)","Moore, Dennis (D-KS)","t1"
"McMahon, Michael E (D-NY)","Davis, Geoff (R-KY)","t1"
"Mulvaney, Mick (R-SC)","Meek, Kendrick B (D-FL)","t1"
"Owens, Bill (D-NY)","Bachus, Spencer (R-AL)","t1"
"Perry, Jeff (R-MA)","Gutierrez, Luis V (D-IL)","t1"
"Polis, Jared (D-CO)","Frank, Barney (D-MA)","t1"
"Pollak, Joel (R-IL)","Kanjorski, Paul E (D-PA)","t1"
"Rice, Rex (R-SC)","Scott, David (D-GA)","t1"
"Rivera, David (R-FL)","Maloney, Carolyn B (D-NY)","t1"
"Roby, Martha (R-AL)","Jenkins, Lynn (R-KS)","t1"
"Schrader, Kurt (D-OR)","Moore, Dennis (D-KS)","t1"
"Souder, Mark E (R-IN)","Davis, Geoff (R-KY)","t1"
"Thompson, Glenn (R-PA)","Meek, Kendrick B (D-FL)","t1"
"Webster, Daniel (R-FL)","Bachus, Spencer (R-AL)","t1"
"Welch, Peter (D-VT)","Gutierrez, Luis V (D-IL)","t1"
"Nunnelee, Alan (R-MS)","Frank, Barney (D-MA)","t1"
"Gardner, Cory (R-CO)","Kanjorski, Paul E (D-PA)","t1"
"Gooch, Diane (R-NJ)","Scott, David (D-GA)","t1"
"Israel, Steve (D-NY)","Maloney, Carolyn B (D-NY)","t1"
"Kinzinger, Adam (R-IL)","Jenkins, Lynn (R-KS)","t1"
"Paulsen, Erik (R-MN)","Moore, Dennis (D-KS)","t1"
"Thurmond, Paul (R-SC)","Davis, Geoff (R-KY)","t1"
"Wilson, Joe (R-SC)","Meek, Kendrick B (D-FL)","t1"
"Harper, Scott (D-IL)","Bachus, Spencer (R-AL)","t1"
"McDowell, Gary J (D-MI)","Gutierrez, Luis V (D-IL)","t1"
"Rogers, Hayden (D-NC)","Frank, Barney (D-MA)","t1"
"Wagner, Ann L (R-MO)","Kanjorski, Paul E (D-PA)","t1"
"Paton, Jonathan (R-AZ)","Scott, David (D-GA)","t1"
"Canseco, Francisco (R-TX)","Maloney, Carolyn B (D-NY)","t1"
"Desjarlais, Scott (R-TN)","Jenkins, Lynn (R-KS)","t1"
"Westmoreland, Lynn A (R-GA)","Moore, Dennis (D-KS)","t1"
"Grimm, Michael (R-NY)","Davis, Geoff (R-KY)","t1"
"Oceguera, John (D-NV)","Meek, Kendrick B (D-FL)","t1"
"Huizenga, Bill (R-MI)","Bachus, Spencer (R-AL)","t1"
"Cuellar, Henry (D-TX)","Gutierrez, Luis V (D-IL)","t1"
"Reed, Tom (R-NY)","Frank, Barney (D-MA)","t1"
"Horsford, Steven (D-NV)","Kanjorski, Paul E (D-PA)","t1"
"Strickland, Tony (R-CA)","Scott, David (D-GA)","t1"
"Hayworth, Nan (R-NY)","Maloney, Carolyn B (D-NY)","t1"
"Collins, Doug (R-GA)","Jenkins, Lynn (R-KS)","t1"
"Duffy, Sean P (R-WI)","Moore, Dennis (D-KS)","t1"
"Frankel, Lois J (D-FL)","Davis, Geoff (R-KY)","t1"
"King, Steven A (R-IA)","Meek, Kendrick B (D-FL)","t1"
"Love, Mia (R-UT)","Bachus, Spencer (R-AL)","t1"
"Noem, Kristi (R-SD)","Gutierrez, Luis V (D-IL)","t1"
"Southerland, Steve (R-FL)","Frank, Barney (D-MA)","t1"
"Wenstrup, Brad (R-OH)","Kanjorski, Paul E (D-PA)","t1"
"Rogers, Mike D (R-AL)","Scott, David (D-GA)","t1"
"Carney, John (D-DE)","Maloney, Carolyn B (D-NY)","t1"
"Buck, Jason (R-UT)","Jenkins, Lynn (R-KS)","t1"
"Calderon, Ronald (D-CA)","Moore, Dennis (D-KS)","t1"
"Castro, Joaquin (D-TX)","Davis, Geoff (R-KY)","t1"
"Smith, Lamar (R-TX)","Meek, Kendrick B (D-FL)","t1"
"Wamp, Weston (R-TN)","Bachus, Spencer (R-AL)","t1"
"Guinta, Frank (R-NH)","Gutierrez, Luis V (D-IL)","t1"
"Buerkle, Ann Marie (R-NY)","Frank, Barney (D-MA)","t1"
"Rogers, Hal (R-KY)","Kanjorski, Paul E (D-PA)","t1"
"Sewell, Terri A (D-AL)","Scott, David (D-GA)","t1"
"Stewart, Chris (R-UT)","Maloney, Carolyn B (D-NY)","t1"
"Tisei, Richard (R-MA)","Jenkins, Lynn (R-KS)","t1"
"Barletta, Lou (R-PA)","Moore, Dennis (D-KS)","t1"
"Beatty, Joyce (D-OH)","Davis, Geoff (R-KY)","t1"
"Boustany, Charles Jr (R-LA)","Meek, Kendrick B (D-FL)","t1"
"Denham, Jeff (R-CA)","Bachus, Spencer (R-AL)","t1"
"Ellmers, Renee (R-NC)","Gutierrez, Luis V (D-IL)","t1"
"Gallego, Pete (D-TX)","Frank, Barney (D-MA)","t1"
"Gill, Ricky (R-CA)","Kanjorski, Paul E (D-PA)","t1"
"Hayden, Jerry (R-CA)","Scott, David (D-GA)","t1"
"Miller, Jeff (R-FL)","Maloney, Carolyn B (D-NY)","t1"
"Olson, Pete (R-TX)","Jenkins, Lynn (R-KS)","t1"
"Pocan, Mark (D-WI)","Moore, Dennis (D-KS)","t1"
"Schneider, Brad (D-IL)","Davis, Geoff (R-KY)","t1"
"Weprin, David I (D-NY)","Meek, Kendrick B (D-FL)","t1"
"Adams, Sandy (R-FL)","Bachus, Spencer (R-AL)","t1"
"Anderson, Lee Ivey (R-GA)","Gutierrez, Luis V (D-IL)","t1"
"Bauer, Andre (R-SC)","Frank, Barney (D-MA)","t1"
"Cardenas, Tony (D-CA)","Kanjorski, Paul E (D-PA)","t1"
"Conaway, Mike (R-TX)","Scott, David (D-GA)","t1"
"Davis, Rodney (R-IL)","Maloney, Carolyn B (D-NY)","t1"
"Dieterich, Bob (R-NY)","Jenkins, Lynn (R-KS)","t1"
"Gibbs, Bob (R-OH)","Moore, Dennis (D-KS)","t1"
"Griffin, Tim (R-AR)","Davis, Geoff (R-KY)","t1"
"Harris, Andy (R-MD)","Meek, Kendrick B (D-FL)","t1"
"Hasner, Adam (R-FL)","Bachus, Spencer (R-AL)","t1"
"Heck, Dennis (D-WA)","Gutierrez, Luis V (D-IL)","t1"
"Lankford, James (R-OK)","Frank, Barney (D-MA)","t1"
"Lowenthal, Alan (D-CA)","Kanjorski, Paul E (D-PA)","t1"
"Lucas, Frank D (R-OK)","Scott, David (D-GA)","t1"
"Lungren, Dan (R-CA)","Maloney, Carolyn B (D-NY)","t1"
"Maldonado, Abel (R-CA)","Jenkins, Lynn (R-KS)","t1"
"Meehan, Patrick (R-PA)","Moore, Dennis (D-KS)","t1"
"Murphy, Patrick (D-FL)","Davis, Geoff (R-KY)","t1"
"Perry, Scott (R-PA)","Meek, Kendrick B (D-FL)","t1"
"Pittenger, Robert (R-NC)","Bachus, Spencer (R-AL)","t1"
"Rigell, Scott (R-VA)","Gutierrez, Luis V (D-IL)","t1"
"Tavaglione, John F (R-CA)","Frank, Barney (D-MA)","t1"
"Weber, Randy (R-TX)","Kanjorski, Paul E (D-PA)","t1"
"West, Allen (R-FL)","Scott, David (D-GA)","t1"
"Payne, Donald M (D-NJ)","Maloney, Carolyn B (D-NY)","t1"
"Connolly, Gerry (D-VA)","Jenkins, Lynn (R-KS)","t1"
"Delong, Gary (R-CA)","Moore, Dennis (D-KS)","t1"
"Himes, Jim (D-CT)","Davis, Geoff (R-KY)","t1"
"Hirschbiel, Paul Odell Jr (D-VA)","Meek, Kendrick B (D-FL)","t1"
"Kilroy, Mary Jo (D-OH)","Bachus, Spencer (R-AL)","t1"
"Healy-Abrams, Joyce (D-OH)","Gutierrez, Luis V (D-IL)","t1"
"Crowley, Joseph (D-NY)","Frank, Barney (D-MA)","t1"
"Miller, Gary (R-CA)","Kanjorski, Paul E (D-PA)","t1"
"Barr, Andy (R-KY)","Scott, David (D-GA)","t1"
"Garcia, Joe (D-FL)","Maloney, Carolyn B (D-NY)","t1"
"Cole, Tom (R-OK)","Jenkins, Lynn (R-KS)","t1"
"Sink, Alex (D-FL)","Moore, Dennis (D-KS)","t1"
"Celis, Pedro (R-WA)","Davis, Geoff (R-KY)","t1"
"Barr, Bob (R-GA)","Meek, Kendrick B (D-FL)","t1"
"Limehouse, Chip (R-SC)","Bachus, Spencer (R-AL)","t1"
"Pridemore, Tricia (R-GA)","Gutierrez, Luis V (D-IL)","t1"
